2024-08-19T02:41:33.894+03:30 | INFO | [main] | o.s.o.j.AbstractEntityManagerFactoryBean | ,, | Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-08-19T02:41:34.210+03:30 | INFO | [main] | o.s.d.j.r.q.QueryEnhancerFactory | ,, | Hibernate is in classpath; If applicable, HQL parser will be used.
2024-08-19T02:41:34.618+03:30 | WARN | [main] | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration | ,, | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-08-19T02:41:35.252+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Initializing Spring TestDispatcherServlet ''
2024-08-19T02:41:35.252+03:30 | INFO | [main] | o.s.w.s.FrameworkServlet | ,, | Initializing Servlet ''
2024-08-19T02:41:35.261+03:30 | INFO | [main] | o.s.b.a.e.w.EndpointLinksResolver | ,, | Exposing 16 endpoints beneath base path '/actuator'
2024-08-19T02:41:35.280+03:30 | INFO | [main] | o.s.w.s.FrameworkServlet | ,, | Completed initialization in 28 ms
2024-08-19T02:41:35.326+03:30 | INFO | [main] | o.a.j.l.DirectJDKLog | ,, | Starting ProtocolHandler ["http-nio-auto-1"]
2024-08-19T02:41:35.335+03:30 | INFO | [main] | o.s.b.w.e.t.TomcatWebServer | ,, | Tomcat started on port 45873 (http) with context path '/'
2024-08-19T02:41:35.353+03:30 | INFO | [main] | o.s.b.StartupInfoLogger | ,, | Started IntegrationTest in 16.351 seconds (process running for 17.181)
2024-08-19T02:41:35.953+03:30 | ERROR | [main] | m.s.w.e.UserStatusException | 66c328673d752adf108b4a699a41d38c,108b4a699a41d38c, | user.status : with message : user is not enabled
2024-08-19T02:41:35.967+03:30 | ERROR | [main] | m.s.w.e.UserNotFoundException | 66c32867f613f64adc4f91a41b3135c2,dc4f91a41b3135c2, | no.user.found: with  key : 145
2024-08-19T02:41:36.013+03:30 | INFO | [] | m.s.w.s.s.LedgerSchedule | ,, | The batchPrice 300000.00
2024-08-19T02:41:36.014+03:30 | INFO | [] | m.s.w.s.s.LedgerSchedule | ,, | after update TotalPrice 300000.00
2024-08-19T02:41:36.014+03:30 | INFO | [main] | m.s.w.s.s.LedgerSchedule | ,, | Total amount_change from the last 24 hours: 300000.00
2024-08-19T02:41:36.060+03:30 | INFO | [SpringApplicationShutdownHook] | o.s.b.w.e.t.GracefulShutdown | ,, | Commencing graceful shutdown. Waiting for active requests to complete
2024-08-19T02:41:36.065+03:30 | INFO | [tomcat-shutdown] | o.s.b.w.e.t.GracefulShutdown | ,, | Graceful shutdown complete
2024-08-19T02:41:36.075+03:30 | INFO | [SpringApplicationShutdownHook] | o.s.o.j.AbstractEntityManagerFactoryBean | ,, | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-08-19T02:41:36.079+03:30 | INFO | [SpringApplicationShutdownHook] | c.z.h.HikariDataSource | ,, | HikariPool-1 - Shutdown initiated...
2024-08-19T02:41:36.165+03:30 | INFO | [SpringApplicationShutdownHook] | c.z.h.HikariDataSource | ,, | HikariPool-1 - Shutdown completed.
